qos,5
$SYS/broker/load/messages/received/15min,b'37321.24',68
$SYS/broker/load/messages/sent/15min,b'295233.96',67
$SYS/broker/load/publish/dropped/15min,b'60324.65',68
$SYS/broker/load/publish/received/15min,b'11303.26',67
$SYS/broker/load/publish/sent/15min,b'263481.73',121
$SYS/broker/load/bytes/received/15min,b'552081.00',100
$SYS/broker/load/bytes/sent/15min,b'8235524.40',77
$SYS/broker/load/sockets/15min,b'152.96',68
$SYS/broker/load/connections/15min,b'152.48',79218
$SYS/broker/messages/stored,b'3156010',137
$SYS/broker/subscriptions/count,b'109',91
$SYS/broker/heap/current,b'647064872',205
$SYS/broker/messages/received,b'3225939633',223
$SYS/broker/messages/sent,b'4562652900',120
$SYS/broker/publish/messages/dropped,b'829167629',99
$SYS/broker/publish/messages/received,b'1495990241',94
$SYS/broker/publish/messages/sent,b'2131218449',90
$SYS/broker/bytes/received,b'66374942501',85
$SYS/broker/bytes/sent,b'70083821317',83
$SYS/broker/publish/bytes/received,b'16613225467',72
$SYS/broker/publish/bytes/sent,b'15470172298',99
counter/fast/q2,b'1175779',302468
counter/fast/q2,b'1175808',307582
counter/fast/q2,b'1175809',350
counter/fast/q2,b'1175810',213
counter/fast/q2,b'1175811',221
counter/fast/q2,b'1175812',267
counter/fast/q2,b'1175813',186
counter/fast/q2,b'1175814',192
counter/fast/q2,b'1175815',149
counter/fast/q2,b'1175816',242
counter/fast/q2,b'1175817',243
counter/fast/q2,b'1175818',398
counter/fast/q2,b'1175819',169
counter/fast/q2,b'1175820',120
counter/fast/q2,b'1175821',110
counter/fast/q2,b'1175822',119
counter/fast/q2,b'1175823',106
counter/fast/q2,b'1175824',102
counter/fast/q2,b'1175825',71
counter/fast/q2,b'1175922',920290
counter/fast/q2,b'1175951',305459
counter/fast/q2,b'1175980',307081
counter/fast/q2,b'1175981',306986
counter/fast/q2,b'1175982',270
counter/fast/q2,b'1175983',164
counter/fast/q2,b'1175984',133
counter/fast/q2,b'1175985',121
counter/fast/q2,b'1175986',158
counter/fast/q2,b'1175987',138
counter/fast/q2,b'1175988',113
counter/fast/q2,b'1175989',228
counter/fast/q2,b'1175990',115
counter/fast/q2,b'1175991',154
counter/fast/q2,b'1175992',205
counter/fast/q2,b'1175993',109
counter/fast/q2,b'1175994',78
